Key,en,es,ar,fr,de,ru,tr,hi,ur,cn,ig-ng
Invalid OTP. Please try again,Invalid OTP. Please try again,OTP no válida. Por favor inténtalo de nuevo,كلمة المرور لمرة واحدة غير صالحة. يرجى المحاولة مرة أخرى,OTP invalide. Veuillez réessayer,Ungültiges OTP. Bitte versuche es erneut,"Неверный OTP. Пожалуйста, попробуйте еще раз",Geçersiz OTP. Lütfen tekrar deneyin,अमान्य ओटीपी. कृपया पुन: प्रयास करें,غلط OTP۔ دوبارہ کوشش کریں,一次性密码无效。请再试一次,OTP na ezighi ezi. Biko nwaa ọzọ
Account successfully verified,Account successfully verified,Cuenta verificada exitosamente,تم التحقق من الحساب بنجاح,Compte vérifié avec succès,Konto erfolgreich verifiziert,Аккаунт успешно подтвержден,Hesap başarıyla doğrulandı,खाता सफलतापूर्वक सत्यापित,اکاؤنٹ کی کامیابی سے تصدیق ہو گئی۔,账户验证成功,Ekwenyere akaụntụ nke ọma
You are already KYC Verified User,You are already KYC Verified User,Ya eres usuario verificado de KYC,أنت بالفعل مستخدم تم التحقق منه KYC,Vous êtes déjà un utilisateur vérifié KYC,Sie sind bereits ein KYC-verifizierter Benutzer,Вы уже проверенный пользователь KYC,Zaten KYC Onaylı Kullanıcısısınız,आप पहले से ही केवाईसी सत्यापित उपयोगकर्ता हैं,آپ پہلے سے ہی KYC تصدیق شدہ صارف ہیں۔,您已经是 KYC 验证用户,Ị bụbu onye ọrụ akwadoro KYC
Your KYC information is submitted. Please wait for admin confirmation,Your KYC information is submitted. Please wait for admin confirmation,Se envía su información KYC. Espere la confirmación del administrador.,تم إرسال معلومات KYC الخاصة بك. الرجاء الانتظار لتأكيد المشرف,Vos informations KYC sont soumises. Veuillez attendre la confirmation de l'administrateur,Ihre KYC-Informationen werden übermittelt. Bitte warten Sie auf die Bestätigung durch den Administrator,"Ваша информация KYC отправлена. Пожалуйста, дождитесь подтверждения администратора",KYC bilgileriniz gönderildi. Lütfen yönetici onayını bekleyin,आपकी केवाईसी जानकारी जमा कर दी गई है। कृपया व्यवस्थापक पुष्टि की प्रतीक्षा करें,آپ کی KYC معلومات جمع کر دی گئی ہے۔ براہ کرم منتظم کی تصدیق کا انتظار کریں۔,您的 KYC 信息已提交。请等待管理员确认,E nyefee ozi KYC gị. Biko chere maka nkwenye nchịkwa
User KYC section is under maintenance,User KYC section is under maintenance,La sección KYC del usuario está en mantenimiento,قسم KYC للمستخدم قيد الصيانة,La section KYC de l'utilisateur est en cours de maintenance,Der Benutzer-KYC-Bereich wird derzeit gewartet,Раздел KYC пользователя находится на техническом обслуживании.,Kullanıcı KYC bölümü bakımda,उपयोगकर्ता केवाईसी अनुभाग रखरखाव के अधीन है,صارف کے وائی سی سیکشن کی دیکھ بھال جاری ہے۔,用户 KYC 部分正在维护中,A na-arụkwa ngalaba KYC onye ọrụ
User KYC input fields fetch successfully!,User KYC input fields fetch successfully!,¡Los campos de entrada KYC del usuario se recuperaron correctamente!,تم جلب حقول إدخال KYC للمستخدم بنجاح!,Les champs de saisie KYC de l'utilisateur sont récupérés avec succès !,Benutzer-KYC-Eingabefelder wurden erfolgreich abgerufen!,Поля ввода KYC пользователя успешно получены!,Kullanıcı KYC giriş alanları başarıyla getirildi!,उपयोगकर्ता केवाईसी इनपुट फ़ील्ड सफलतापूर्वक प्राप्त हो गईं!,صارف کے وائی سی ان پٹ فیلڈز کامیابی کے ساتھ حاصل کر رہے ہیں!,用户 KYC 输入字段获取成功！,Ebe ntinye KYC onye ọrụ nwetara nke ọma!
KYC information successfully submitted,KYC information successfully submitted,La información KYC se envió correctamente,تم إرسال معلومات KYC بنجاح,Informations KYC soumises avec succès,KYC-Informationen erfolgreich übermittelt,Информация KYC успешно отправлена,KYC bilgileri başarıyla gönderildi,केवाईसी जानकारी सफलतापूर्वक सबमिट की गई,KYC معلومات کامیابی کے ساتھ جمع کرائی گئی۔,KYC信息提交成功,E nyefee ozi KYC nke ọma
Your account secure with google 2FA,Your account secure with google 2FA,Su cuenta segura con Google 2FA,حسابك آمن مع جوجل 2FA,Votre compte sécurisé avec Google 2FA,Ihr Konto ist mit Google 2FA geschützt,Ваша учетная запись защищена с помощью Google 2FA,Hesabınız Google 2FA ile güvende,आपका खाता Google 2FA के साथ सुरक्षित है,آپ کا اکاؤنٹ گوگل 2FA کے ساتھ محفوظ ہے۔,通过 Google 2FA 确保您的帐户安全,Chekwa akaụntụ gị na google 2FA
To enable two factor authentication (powered by google) please visit your web dashboard Click here:,To enable two factor authentication (powered by google) please visit your web dashboard Click here:,"Para habilitar la autenticación de dos factores (con tecnología de Google), visite su panel web. Haga clic aquí:",لتمكين المصادقة الثنائية (المدعومة من Google)، يرجى زيارة لوحة تحكم الويب الخاصة بك انقر هنا:,"Pour activer l'authentification à deux facteurs (optimisée par Google), veuillez visiter votre tableau de bord Web. Cliquez ici :","Um die Zwei-Faktor-Authentifizierung (powered by google) zu aktivieren, besuchen Sie bitte Ihr Web-Dashboard. Klicken Sie hier:","Чтобы включить двухфакторную аутентификацию (на базе Google), посетите веб-панель управления. Нажмите здесь:",İki faktörlü kimlik doğrulamayı (google tarafından desteklenmektedir) etkinleştirmek için lütfen web kontrol panelinizi ziyaret edin Buraya tıklayın:,दो कारक प्रमाणीकरण सक्षम करने के लिए (Google द्वारा संचालित) कृपया अपने वेब डैशबोर्ड पर जाएं यहां क्लिक करें:,دو عنصر کی توثیق کو فعال کرنے کے لیے (گوگل کے ذریعے تقویت یافتہ) براہ کرم اپنا ویب ڈیش بورڈ ملاحظہ کریں یہاں کلک کریں:,要启用两因素身份验证（由谷歌提供支持），请访问您的网络仪表板单击此处：,Iji mee ka nyocha ihe abụọ (Google kwadoro) biko gaa na dashboard weebụ gị Pịa ebe a:
Your secret key not stored properly. Please contact with system administrator,Your secret key not stored properly. Please contact with system administrator,Su clave secreta no se almacenó correctamente. Por favor contacte con el administrador del sistema,لم يتم تخزين مفتاحك السري بشكل صحيح. يرجى الاتصال بمسؤول النظام,Votre clé secrète n'est pas stockée correctement. Veuillez contacter l'administrateur système,Ihr geheimer Schlüssel wurde nicht ordnungsgemäß gespeichert. Bitte wenden Sie sich an den Systemadministrator,"Ваш секретный ключ не хранится должным образом. Пожалуйста, свяжитесь с системным администратором",Gizli anahtarınız düzgün şekilde saklanmadı. Lütfen sistem yöneticisiyle iletişime geçin,आपकी गुप्त कुंजी ठीक से संग्रहीत नहीं है. कृपया सिस्टम प्रशासक से संपर्क करें,آپ کی خفیہ کلید مناسب طریقے سے محفوظ نہیں ہے۔ براہ کرم سسٹم ایڈمنسٹریٹر سے رابطہ کریں۔,您的密钥未正确存储。请联系系统管理员,Echekwaghị igodo nzuzo gị nke ọma. Biko kpọtụrụ onye nchịkwa sistemụ
Google 2FA successfully verified!,Google 2FA successfully verified!,¡Google 2FA verificado con éxito!,تم التحقق من المصادقة الثنائية على Google بنجاح!,Google 2FA vérifié avec succès !,Google 2FA erfolgreich verifiziert!,Google 2FA успешно проверен!,Google 2FA başarıyla doğrulandı!,Google 2FA सफलतापूर्वक सत्यापित!,Google 2FA کامیابی کے ساتھ تصدیق شدہ!,谷歌2FA验证成功！,Google 2FA kwadoro nke ọma!
Invalid authentication code,Invalid authentication code,Código de autenticación no válido,رمز المصادقة غير صالح,Code d'authentification invalide,Ungültiger Authentifizierungscode,Неверный код аутентификации,Geçersiz kimlik doğrulama kodu,अमान्य प्रमाणीकरण कोड,غلط تصدیقی کوڈ,验证码无效,Koodu njirimara na ezighi ezi
Failed to login. Please try again,Failed to login. Please try again,No se pudo iniciar sesión. Por favor inténtalo de nuevo,فشل تسجيل الدخول. يرجى المحاولة مرة أخرى,Échec de la connexion. Veuillez réessayer,Einloggen fehlgeschlagen. Bitte versuche es erneut,"Не удалось войти. Пожалуйста, попробуйте еще раз",Giriş yapılamadı. Lütfen tekrar deneyin,लॉगिन करने में विफल। कृपया पुन: प्रयास करें,لاگ ان کرنے میں ناکام۔ دوبارہ کوشش کریں,登录失败。请再试一次,Ịbanye agaghị. Biko nwaa ọzọ
User doesn't exists,User doesn't exists,El usuario no existe,المستخدم غير موجود,L'utilisateur n'existe pas,Benutzer existiert nicht,Пользователь не существует,Kullanıcı mevcut değil,उपयोगकर्ता मौजूद नहीं है,صارف موجود نہیں ہے۔,用户不存在,Onye ọrụ adịghị
Your account is temporary banded. Please contact with system admin,Your account is temporary banded. Please contact with system admin,Su cuenta está bloqueada temporalmente. Por favor contacte con el administrador del sistema,حسابك مؤقت. يرجى الاتصال بمسؤول النظام,Votre compte est temporairement bloqué. Veuillez contacter l'administrateur système,Ihr Konto ist vorübergehend gesperrt. Bitte wenden Sie sich an den Systemadministrator,"Ваш аккаунт временно привязан. Пожалуйста, свяжитесь с системным администратором",Hesabınız geçici olarak bantlanmıştır. Lütfen sistem yöneticisi ile iletişime geçin,आपका खाता अस्थायी रूप से बंद कर दिया गया है. कृपया सिस्टम एडमिन से संपर्क करें,آپ کا اکاؤنٹ عارضی طور پر بند ہے۔ براہ کرم سسٹم ایڈمن سے رابطہ کریں۔,您的帐户被临时绑定。请联系系统管理员,Ejikọtara akaụntụ gị nwa oge. Biko kpọtụrụ onye nchịkwa sistemụ
Verification code sended to your email address,Verification code sended to your email address,Código de verificación enviado a su dirección de correo electrónico,تم إرسال رمز التحقق إلى عنوان بريدك الإلكتروني,Code de vérification envoyé à votre adresse e-mail,Bestätigungscode an Ihre E-Mail-Adresse gesendet,Код подтверждения отправлен на ваш адрес электронной почты,Doğrulama kodu e-posta adresinize gönderildi,सत्यापन कोड आपके ईमेल पते पर भेजा गया,توثیقی کوڈ آپ کے ای میل ایڈریس پر بھیجا گیا۔,验证码已发送至您的电子邮件地址,Koodu nkwenye ezigara na adreesị ozi-e gị
Session expired. Please try again,Session expired. Please try again,La sesión expiró. Por favor inténtalo de nuevo,انتهت صلاحية الجلسة. يرجى المحاولة مرة أخرى,Session expirée. Veuillez réessayer,Sitzung abgelaufen. Bitte versuche es erneut,"Срок сеанса истек. Пожалуйста, попробуйте еще раз",Oturum süresi doldu. Lütfen tekrar deneyin,सत्र समाप्त हुआ। कृपया पुन: प्रयास करें,مدت ختم ہو گئی. دوبارہ کوشش کریں,会话已过期。请再试一次,Oge agwụla. Biko nwaa ọzọ
Verification Otp is Invalid,Verification Otp is Invalid,La verificación OTP no es válida,التحقق من Otp غير صالح,La vérification Otp est invalide,Überprüfung OTP ist ungültig,Код подтверждения недействителен,Doğrulama Otp'si Geçersiz,सत्यापन ओटीपी अमान्य है,تصدیقی Otp غلط ہے۔,验证 OTP 无效,Nyocha Otp adịghị mma
OTP successfully verified!,OTP successfully verified!,¡OTP verificada exitosamente!,تم التحقق من كلمة مرور OTP بنجاح!,OTP vérifié avec succès !,OTP erfolgreich verifiziert!,OTP успешно проверен!,OTP başarıyla doğrulandı!,ओटीपी सफलतापूर्वक सत्यापित!,OTP کامیابی کے ساتھ تصدیق شدہ!,OTP 已成功验证！,Ekwenyere OTP nke ọma!
Request token is invalid,Request token is invalid,El token de solicitud no es válido,رمز الطلب غير صالح,Le jeton de demande n'est pas valide,Das Anforderungstoken ist ungültig,Токен запроса недействителен.,İstek jetonu geçersiz,अनुरोध टोकन अमान्य है,ٹوکن کی درخواست غلط ہے۔,请求令牌无效,Arịrịọ arịrịọ ezighi ezi
OTP resend success,OTP resend success,Reenvío OTP exitoso,تم إعادة إرسال OTP بنجاح,OTP renvoie avec succès,Erfolgreiche OTP-Erneutsendung,Повторная отправка OTP прошла успешно,OTP başarıyla yeniden gönderildi,ओटीपी पुनः भेजने में सफलता,OTP دوبارہ بھیجنے میں کامیابی,OTP 重新发送成功,OTP na-ezigaghachi ihe ịga nke ọma
Password reset success,Password reset success,Restablecimiento de contraseña exitoso,نجاح إعادة تعيين كلمة المرور,Réinitialisation réussie du mot de passe,Erfolgreiches Zurücksetzen des Passworts,Сброс пароля выполнен успешно,Şifre sıfırlama başarısı,पासवर्ड रीसेट सफल,پاس ورڈ دوبارہ ترتیب دینے میں کامیابی,密码重置成功,Ihe ịga nke ọma tọgharịa paswọọdụ
Credentials didn't match,Credentials didn't match,Las credenciales no coincidieron,بيانات الاعتماد غير متطابقة,Les informations d'identification ne correspondent pas,Anmeldeinformationen stimmten nicht überein,Учетные данные не совпадают,Kimlik bilgileri eşleşmedi,क्रेडेंशियल मेल नहीं खाते,اسناد مماثل نہیں ہیں۔,凭据不匹配,Asambodo adabaghị
Login Failed! Failed to refresh wallet! Please try again,Login Failed! Failed to refresh wallet! Please try again,¡Error de inicio de sesion! ¡No se pudo actualizar la billetera! Por favor inténtalo de nuevo,فشل تسجيل الدخول! فشل تحديث المحفظة! يرجى المحاولة مرة أخرى,La connexion a échoué! Échec de l'actualisation du portefeuille ! Veuillez réessayer,Fehler bei der Anmeldung! Wallet konnte nicht aktualisiert werden! Bitte versuche es erneut,"Ошибка входа! Не удалось обновить кошелек! Пожалуйста, попробуйте еще раз",Giriş başarısız oldu! Cüzdan yenilenemedi! Lütfen tekrar deneyin,लॉगिन विफल! बटुए को ताज़ा करने में विफल! कृपया पुन: प्रयास करें,لاگ ان ناکام رہے! بٹوے کو ریفریش کرنے میں ناکام! دوبارہ کوشش کریں,登录失败！钱包刷新失败！请再试一次,Mbanye agaghị! Iweghachi obere akpa agaghị eme! Biko nwaa ọzọ
User successfully logged in,User successfully logged in,El usuario inició sesión exitosamente,تم تسجيل دخول المستخدم بنجاح,Utilisateur connecté avec succès,Benutzer erfolgreich angemeldet,Пользователь успешно вошел в систему,Kullanıcı başarıyla oturum açtı,उपयोगकर्ता सफलतापूर्वक लॉग इन हुआ,صارف کامیابی کے ساتھ لاگ ان ہوا۔,用户成功登录,Onye ọrụ abanyela nke ọma
Registration failed! Please try again,Registration failed! Please try again,¡El registro falló! Por favor inténtalo de nuevo,فشل التسجيل! يرجى المحاولة مرة أخرى,L'inscription a échoué ! Veuillez réessayer,Registrierung fehlgeschlagen! Bitte versuche es erneut,"Регистрация не удалась! Пожалуйста, попробуйте еще раз",Kayıt başarısız! Lütfen tekrar deneyin,पंजीकरण विफल रहा! कृपया पुन: प्रयास करें,رجسٹریشن ناکام! دوبارہ کوشش کریں,注册失败！请再试一次,Ndebanye aha dara! Biko nwaa ọzọ
Failed to fetch user information. Please try again,Failed to fetch user information. Please try again,No se pudo recuperar la información del usuario. Por favor inténtalo de nuevo,فشل في جلب معلومات المستخدم. يرجى المحاولة مرة أخرى,Échec de la récupération des informations utilisateur. Veuillez réessayer,Benutzerinformationen konnten nicht abgerufen werden. Bitte versuche es erneut,"Не удалось получить информацию о пользователе. Пожалуйста, попробуйте еще раз",Kullanıcı bilgileri getirilemedi. Lütfen tekrar deneyin,उपयोगकर्ता जानकारी लाने में विफल. कृपया पुन: प्रयास करें,صارف کی معلومات حاصل کرنے میں ناکام۔ دوبارہ کوشش کریں,获取用户信息失败。请再试一次,Ị nweta ozi onye ọrụ agaghị. Biko nwaa ọzọ
Failed to generate user token! Please try again,Failed to generate user token! Please try again,¡No se pudo generar el token de usuario! Por favor inténtalo de nuevo,فشل في إنشاء رمز مميز للمستخدم! يرجى المحاولة مرة أخرى,Échec de la génération du jeton utilisateur ! Veuillez réessayer,Benutzertoken konnte nicht generiert werden! Bitte versuche es erneut,"Не удалось создать токен пользователя! Пожалуйста, попробуйте еще раз",Kullanıcı jetonu oluşturulamadı! Lütfen tekrar deneyin,उपयोगकर्ता टोकन जनरेट करने में विफल! कृपया पुन: प्रयास करें,صارف ٹوکن بنانے میں ناکام! دوبارہ کوشش کریں,生成用户令牌失败！请再试一次,Ịmepụta akara njirimara agaghị eme! Biko nwaa ọzọ
Registration Failed! Failed to create wallet! Please try again,Registration Failed! Failed to create wallet! Please try again,¡El registro falló! ¡No se pudo crear la billetera! Por favor inténtalo de nuevo,فشل التسجيل! فشل في إنشاء المحفظة! يرجى المحاولة مرة أخرى,L'inscription a échoué ! Échec de la création du portefeuille ! Veuillez réessayer,Registrierung fehlgeschlagen! Wallet konnte nicht erstellt werden! Bitte versuche es erneut,"Регистрация не удалась! Не удалось создать кошелек! Пожалуйста, попробуйте еще раз",Kayıt başarısız! Cüzdan oluşturulamadı! Lütfen tekrar deneyin,पंजीकरण विफल रहा! बटुआ बनाने में विफल! कृपया पुन: प्रयास करें,رجسٹریشن ناکام! پرس بنانے میں ناکام! دوبارہ کوشش کریں,注册失败！创建钱包失败！请再试一次,Ndebanye aha agaghị! Ịmepụta obere akpa agaghị eme! Biko nwaa ọzọ
User successfully registered,User successfully registered,Usuario registrado exitosamente,تم تسجيل المستخدم بنجاح,Utilisateur enregistré avec succès,Benutzer erfolgreich registriert,Пользователь успешно зарегистрирован,Kullanıcı başarıyla kaydoldu,उपयोगकर्ता सफलतापूर्वक पंजीकृत हो गया,صارف کامیابی کے ساتھ رجسٹر ہو گیا۔,用户注册成功,Onye ọrụ debara aha nke ọma
Failed to fetch data. Please try again,Failed to fetch data. Please try again,No se pudieron recuperar los datos. Por favor inténtalo de nuevo,فشل في جلب البيانات. يرجى المحاولة مرة أخرى,Échec de la récupération des données. Veuillez réessayer,Daten konnten nicht abgerufen werden. Bitte versuche es erneut,"Не удалось получить данные. Пожалуйста, попробуйте еще раз",Veriler getirilemedi. Lütfen tekrar deneyin,डेटा लाने में विफल. कृपया पुन: प्रयास करें,ڈیٹا حاصل کرنے میں ناکام۔ دوبارہ کوشش کریں,获取数据失败。请再试一次,Ị nweta data agaghị. Biko nwaa ọzọ
Payment gateway fetch successfully!,Payment gateway fetch successfully!,¡La pasarela de pago se obtuvo correctamente!,تم جلب بوابة الدفع بنجاح!,La passerelle de paiement a été récupérée avec succès !,Zahlungs-Gateway erfolgreich abgerufen!,Платежный шлюз получен успешно!,Ödeme ağ geçidi başarıyla getirildi!,भुगतान गेटवे सफलतापूर्वक लाया गया!,ادائیگی کے گیٹ وے کامیابی کے ساتھ بازیافت!,支付网关获取成功！,Nweta ụzọ ugwo nke ọma!
Can't submit manual gateway in automatic link,Can't submit manual gateway in automatic link,No se puede enviar la puerta de enlace manual en el enlace automático,لا يمكن إرسال البوابة اليدوية في الرابط التلقائي,Impossible de soumettre une passerelle manuelle dans un lien automatique,Manuelles Gateway kann nicht im automatischen Link übermittelt werden,Невозможно отправить ручной шлюз в автоматическую ссылку.,Otomatik bağlantıda manuel ağ geçidi gönderilemiyor,स्वचालित लिंक में मैन्युअल गेटवे सबमिट नहीं किया जा सकता,خودکار لنک میں دستی گیٹ وے جمع نہیں کر سکتے,无法在自动链接中提交手动网关,Enweghị ike ịnyefe ọnụ ụzọ akwụkwọ ntuziaka na njikọ akpaka
Transaction failed. Record didn't saved properly. Please try again,Transaction failed. Record didn't saved properly. Please try again,La transacción falló. El registro no se guardó correctamente. Por favor inténtalo de nuevo,فشلت المعاملة. لم يتم حفظ السجل بشكل صحيح. يرجى المحاولة مرة أخرى,La transaction a échoué. L'enregistrement n'a pas été enregistré correctement. Veuillez réessayer,Transaktion fehlgeschlagen. Der Datensatz wurde nicht ordnungsgemäß gespeichert. Bitte versuche es erneut,"Транзакция не удалась. Запись не сохранилась должным образом. Пожалуйста, попробуйте еще раз",İşlem başarısız. Kayıt düzgün şekilde kaydedilmedi. Lütfen tekrar deneyin,लेन - देन विफल। रिकॉर्ड ठीक से सहेजा नहीं गया. कृपया पुन: प्रयास करें,لین دین ناکام ہو گیا۔ ریکارڈ ٹھیک سے محفوظ نہیں ہوا۔ دوبارہ کوشش کریں,交易失败。记录未正确保存。请再试一次,Azụmahịa dara. Edokwaghị ndekọ nke ọma. Biko nwaa ọzọ
Payment process cancel successfully!,Payment process cancel successfully!,¡El proceso de pago se cancela exitosamente!,تم إلغاء عملية الدفع بنجاح!,Le processus de paiement a été annulé avec succès !,Zahlungsvorgang erfolgreich abgebrochen!,Процесс оплаты успешно отменен!,Ödeme işlemi başarıyla iptal edildi!,भुगतान प्रक्रिया सफलतापूर्वक रद्द हुई!,ادائیگی کا عمل کامیابی سے منسوخ ہو گیا!,付款流程取消成功！,Usoro ịkwụ ụgwọ kagburu nke ọma!
Can't get fields. Requested gateway is automatic,Can't get fields. Requested gateway is automatic,No puedo obtener campos. La puerta de enlace solicitada es automática.,لا يمكن الحصول على الحقول. البوابة المطلوبة تلقائية,Impossible d'obtenir des champs. La passerelle demandée est automatique,Es können keine Felder abgerufen werden. Das angeforderte Gateway erfolgt automatisch,Не могу получить поля. Запрошенный шлюз является автоматическим,Alanlar alınamıyor. İstenen ağ geçidi otomatiktir,फ़ील्ड नहीं मिल सकते. अनुरोधित गेटवे स्वचालित है,کھیت حاصل نہیں کر سکتے۔ درخواست کردہ گیٹ وے خودکار ہے۔,无法获取字段。请求的网关是自动的,Enweghị ike ịnweta ubi. Ọnụ ụzọ ámá achọrọ na-akpaghị aka
This payment gateway is under constructions. Please try with another payment gateway,This payment gateway is under constructions. Please try with another payment gateway,Esta pasarela de pago está en construcción. Por favor intenta con otra pasarela de pago,بوابة الدفع هذه قيد الإنشاء. يرجى المحاولة باستخدام بوابة دفع أخرى,Cette passerelle de paiement est en construction. Veuillez essayer avec une autre passerelle de paiement,Dieses Zahlungsgateway befindet sich im Aufbau. Bitte versuchen Sie es mit einem anderen Zahlungsgateway,"Этот платежный шлюз находится в стадии разработки. Пожалуйста, попробуйте использовать другой платежный шлюз.",Bu ödeme ağ geçidi yapım aşamasındadır. Lütfen başka bir ödeme ağ geçidiyle deneyin,यह पेमेंट गेटवे निर्माणाधीन है। कृपया किसी अन्य भुगतान गेटवे के साथ प्रयास करें,یہ ادائیگی کا گیٹ وے زیر تعمیر ہے۔ براہ کرم دوسرے ادائیگی کے گیٹ وے کے ساتھ کوشش کریں۔,该支付网关正在建设中。请尝试使用其他支付网关,Ọnụ ụzọ ịkwụ ụgwọ a na-arụ ọrụ. Biko nwaa jiri ọnụ ụzọ ịkwụ ụgwọ ọzọ
Payment gateway input fields fetch successfully!,Payment gateway input fields fetch successfully!,¡Los campos de entrada de la pasarela de pago se recuperaron correctamente!,تم جلب حقول إدخال بوابة الدفع بنجاح!,Les champs de saisie de la passerelle de paiement ont été récupérés avec succès !,Die Eingabefelder des Zahlungsgateways wurden erfolgreich abgerufen!,Поля ввода платежного шлюза успешно получены!,Ödeme ağ geçidi giriş alanları başarıyla getirildi!,भुगतान गेटवे इनपुट फ़ील्ड सफलतापूर्वक प्राप्त हो गईं!,ادائیگی کے گیٹ وے ان پٹ فیلڈز کامیابی کے ساتھ بازیافت ہوئے!,支付网关输入字段获取成功！,A na-enweta mpaghara ntinye ọnụ ụzọ ịkwụ ụgwọ nke ọma!
Can't submit automatic gateway in manual link,Can't submit automatic gateway in manual link,No se puede enviar la puerta de enlace automática en el enlace manual,لا يمكن إرسال البوابة التلقائية في الرابط اليدوي,Impossible de soumettre une passerelle automatique dans un lien manuel,Das automatische Gateway kann nicht im manuellen Link übermittelt werden,Невозможно отправить автоматический шлюз по ссылке вручную.,Manuel bağlantıda otomatik ağ geçidi gönderilemiyor,मैन्युअल लिंक में स्वचालित गेटवे सबमिट नहीं किया जा सकता,مینوئل لنک میں خودکار گیٹ وے جمع نہیں کر سکتے,无法在手动链接中提交自动网关,Enweghị ike ịnyefe ọnụ ụzọ akpaka na njikọ aka
Selected gateway is invalid,Selected gateway is invalid,La puerta de enlace seleccionada no es válida,البوابة المحددة غير صالحة,La passerelle sélectionnée n'est pas valide,Das ausgewählte Gateway ist ungültig,Выбранный шлюз недействителен.,Seçilen ağ geçidi geçersiz,चयनित गेटवे अमान्य है,منتخب گیٹ وے غلط ہے۔,选择的网关无效,Ọnụ ụzọ ahọpụtara ezighi ezi
